method_name,count
GRIMM EDM Model 180 with naphion dryer - Laser Light Scattering,298
Instrumental - Vaisala 425 AH Sonic Sensor,296
PRECIP - CONDUCTIVITY CELL,292
Andersen RAAS Teflon - Gravimetric,290
Instrumental - Hygromer C94 Probe,289
PRECIP - GLASS ELECTRODE,288
"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - Laser Integratig Plate Method",287
INSTRUMENTAL - COMPUTED(INDIRECT) LEVEL 1,281
INSTRUMENTAL - TECO 17 CHEMILUMINESCENCE,279
HI-VOL-SA/GMW1200 - ATOMIC ABSORPTION,278
HI-VOL-SA/GMW1200 - TOTAL ORGANIC CARBON ANALYZER,277
Met One SASS Teflon - Liquid Injection Varian GC/MS,275
Thermo/R & P 2025 PM10 - X-ray Fluorescence (EDXRF) FRM,273
Met One SASS Quartz - IMPROVE TOR,273
R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - PAIRED GRAVIMETRIC DIFFERENCE,273
R - P Co Partisol Model 2000 - Barometric Sensor,271
ATEC2400 W/Waters Silica DNPH - HP LC-1050 W/Diode Array Detector,271
R - P Co Partisol Model 2000 - Electronic,271
R & P Model 2025 PM2.5 Sequential w/WINS - ICP/MS,270
Model 2025 PM10 Sequential Teflon - Energy Dispersive XRF,264
iNSTRUMENTAL - ENTECH 2000 W/MS/FID,256
Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extraction with nitric and hydrochloric acid,253
ANNULAR DIFFUSION DENUDER - ION CHROMATOGRAPH,247
6L SUBATM CANISTER - Entech Precon - GC/FID/MSD,244
Met One SASS Teflon - HPLC Charged Aerosol Detector,243
BUCKET - STANDARD NWS RAIN GAGE,242
HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3,240
Instrumental - Rotronic HC2-S3,237
Instrumental - Electronic or machine average level 3 - level 1,235
INSTRUMENTAL - FOG VISIOMETER,233
QUARTZ FILTER - SPECIFIC ION ELECTRODE,232
SS-CANISTER-AMBIENT - PRECONCENTRATOR GS/FID,226
Teflon CASTNET-style 3-stage filter pack - Ion Chromatography EPA Mehtod 300.0,226
LEAD-PLATE - TURBIDIMETRIC (HUEY),225
ANDERSON SSI - GRAVIMETRIC TOTAL < 15,223
Hi-Vol - ICP-MS,217
Thermo Scientific Partisol 2000-D Dichot. - Gravimetric,216
PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C,215
HI-VOL - SPECIFIC ION ELECTRODE,212
HI-VOL-WEDDING-INLET - ATOMIC ABSORPTION,211
Model 2025 Dichot Sequential Quartz  - IMPROVE_A,208
Model 2025 Dichot Sequential Quartz - IMPROVE_A,208
preconcentrator trap/thermal desorber - Nafion drier - CAS AirmOzone - butane response - factor adjusted,208
BGI Inc. frmOMNI - ICP-MS,204
Hi-Vol - Atomic Absorption (AA); 2.6M HNO3/0.9M HCl or 0.45 HNO3 Boil 30 min,204
R&P Model 2000 PM10 Quartz - ICP/MS,202
Instrumental - Spot reading level 2 - level 1,199
Instrumental - ACOUSTIC SOUNDER,197
Hi Vol - FLAMELESS AA,191
Andersen BAM w/PM2.5 VSCC - Beta Attenuation,190
SS 6-L Pressurized Canister - Cryogenic Precon: GC/MS,188
Hi Vol PUF-XAD - GC-MS-SIM,186
DICHOTOMOUS APPROVED PM10 REFR - GRAVIMETRIC,186
Met-One E- BAM W/PM2.5 SCC - Beta Attenuation,185
HI-VOL-SA/GMW-321-C - GRAVIMETRIC,184
Ecotech M9003/Aurora - Nephelometry,183
Instrumental - Net radiometer,181
TEDLAR-BAG-24-HR-SAMPLE - GC PHOTOIONIZATION DETECTOR,181
Hi-Vol/PUF Cartridge - Micro Wave Extraction GC/MS,180
Thermo Scientific Dichot. Partisol-Plus Model 2025-D Seq - Gravimetric,180
INSTRUMENTAL - ACOUSTIC SOUNDER,179
R&P MDL2300 PM2.5 SEQ SPEC - GRAVIMETRIC,178
ATEC2400 W/Waters Silica DNPH - HP LC-1050 W/Dode Array Detector,175
Andersen RAAS10-300 M-channel - Gravimetric,174
6L Subatm Canister - Entech Precon-  GC/FID/MSD,173
Thermo Scientific 1405-DF Dichotomous TEOM FDMS - FDMS Gravimetric,172
Correlated Ecotech M9003/ Aurora - Nephelometry,172
VEGETATION - AUTO-ANALYZER / COLORIMETRIC,169
SS 6L Pressurized Canister - Cryogenic Precon: GC/MS,169
Instrumental - AIRCO-VOC C6/C12 GC/FID,168
6L SUBATM SS CANISTER - PRECONC: GC/MS,165
Instrumental - Ultra Violet 2B Model 202,165
Hi Vol SSI Ecotech Model 3000 - Gravimetric,162
"Hi-Vol - Flameless Atomic absorption (GFAA) EPA; 3 extraction options: (a) 2.6M HNO3 sonicate 30 min no heat, (b) 2.6M HNO3/.9MHC",162
INSTRUMENTAL - ARITH STD DEV LEVEL 3,161
INSTRUMENTAL - Wavelength-Scanned Cavity Ringdown Spectroscopy - Picarro G1301,160
R - P Co Partisol Model 2000 - Calculation,158
Magee Scientific AE22ER Aethalometer - Optical absorption,158
PM2.5 SCC w/Correction Factor - TEOM Gravimetric 30 deg C,156
HI-VOL - Flameless Atomic absorption (GFAA),156
T-API 651/TSI 3783 at 3.0 lpm with 7 nm min. detectable particle (D50) - Water-Based Condensation particle counter,153
Ultrasonic Wind sensor MD1425A - Vector Average Data Logger,150
Ultrasonic Wind Sensor MD1425A - Vector Average Data Logger,150
Met One E-FRM PM2.5 with VSCC - Gravimetric,150
INSTRUMENTAL - SPOT READING LEVEL 1,148
SS 6L- PRESSURIZED CANISTER - Entech Precon-  GC/FID/MSD,148
Thermo Electron Model 5020 Sulfate Particulate Analyzer - Catalytic thermal reduct/Pulsed Fluorescence,148
Met One SASS Quartz - EC1+EC2+EC3-OP,146
Met One SASS Quartz - OC1+OC2+OC3+OC4+OP,146
Model 2025 Dichot Sequential Teflon - Ion Chromatography,144
Instrumental - Vaisala WS425,142
6L subatm SS Canister - Entech Precon GC/MS,141
GAS-BUBBLER - NASN SODIUM ARSENITE - FRIT,141
INSTRUMENTAL-WEDDING-AUTOMATIC - BETA-RAY-ATTENUATION,140
HI-VOL - BENZENE EXTRACTION-SOXHLET,137
SODIUM-PAPER - SPECIFIC ION,137
BUCKET - TVA-RECORDING GAGE,137
Teledyne Model 602 Beta plus w/VSCC - Beta Attenuation,134
INSTRUMENTAL - SPOT READING LEVEL 2,132
URG MASS400 Nylon WINS - Ion Chromatography,130
INSTRUMENTAL - 8202/8202A:NMOC CAL GAS = METHANE,130
Hi Vol Wedding Inlet - X-ray Fluorescence,129
SS 6L- PRESSURIZED CANISTER - PRECONC: GC/MS,129
Instrumental - Entech 2000 W/MS/FID,128
INSRUMENTAL - ENTECH 2000 W/MS/FID,128
INSTRUMENTAL-R&P SA246B-Inlet (Tx Modification) - TEOM-GRAVIMETRIC w/Tx modification,127
BUCKET - GRAVIMETRIC,126
HI-VOL-Wedding Inlet - Emission Spectra ICAP,126
HI-VOL-SA321 - GRAVIMETRIC,125
R&P MODEL 8400N - FLASH VAPORIZATION/CHEMILUMINESCENCE,124
Cartridge-DNPH-on-Silica - HPLC Ultraviolet Absorption,122
Instrumental - Chemiluminescence Ecotech EC9841T,121
Hi-Vol - Emission Spectra ICAP (ICP-OES); 3M HNO3 Boil 30 min,120
"3 L SS Canister Subamb press, passive coll - GC/Mass Spectro",120
Andersen RAAS Quartz - Thermal Optical Transmittance,119
URG MASS400 TeflonWINS - Energy Dispersive XRF,118
URG MASS400 WINS - Mathematical Total,118
URG MASS400 Teflon WINS - Gravimetric,118
Thermo Scientific 1405-F FDMS w/VSCC - FDMS Gravimetric,115
SS-CANISTER-SUBAMBIENT-PRESSURE - GAS CHROMATOGRAPH MASS SELECTIV DET,114
Hi-Vol - Emission Spectra ICAP (ICP-OES) No extr info,114
C18-DNPH-CARTRIDGE - HPLC ULTRAVIOLET ABSORPTION,114
preconcentrator trap/thermal desorber - electronic drier - Markes CIA TD/Agilent GC dual FID - individual compound response,114
URG 3000N - Calculation,114
PRECIP - FIELD TEST,113
Cellulose & Nylon CASTNET-style 3-stage filter pack - Ion Chromatography EPA Mehtod 300.0,113
HI-VOL/PUF - GC-MS,111
PM2.5 SSI w/Correction Factor - TEOM Gravimetric 50 deg C,110
GAS-BUBBLER - MBTH,110
GAS-BUBBLER - SODIUM PHENOLATE,110
Instrumental - Electronic or machine average level 1,109
LO-VOL-SA244E - GRAVIMETRIC,108
Met-One E- Sampler W/PM2.5 at 2 LPM - Light Scatter at 670 nm,108
Magee Scientific AE1600 Aethalometer - Optical absorption,108
PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 40 deg C,105
Model 2025 PM10 Sequential Quartz - IMPROVE_A,104
Model 2025 PM2.5 Sequential Quartz VSCC - IMPROVE_A,104
SS-CANISTER SUBAMBIENT-PRESURE - GAS CHROMATOGRAPH MASS SELECTIV DET,102
INSTRUMENTAL - SEC DERIV SPECTROSCOPY,102
INSTRUMENTAL-R&P-SA246B INLET - TEOM-GRAVIMETRIC,100
"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 3.5 sq. cm. - X-Ray Fluorescence",100
Instrumental - Electronic or machine average level 3 - level 2,99
INSTRUMENTAL - Gas Filter Correlation Ecotech EC9830T,98
BGI Inc Model PQ200 PM10-2.5 Sampler Pair - Paired Gravimetric Difference,98
HI-VOL - ATOMIC ABSORPTION (ALT.EXTR.),97
"IMPROVE Module B with Cyclone Inlet and Glycerin-Nylon Filter, 4.9 sq. cm. - Ion Chromatography",97
PM2.5 VSCC w/Correction Factor - TEOM Gravimetric 50 deg C,97
R & P Model 2025 PM2.5 Sequential Quartz - Thermal Optical Transmittance,96
HI-VOL - EMISSION SPECTRA (LOW TEMP ASH),96
Instrumental - Electronic or machine average level 2,95
INSTRUMENTAL - COLORIMETRIC-LYSHKOW (MOD),94
OR Med-Vol TSP Teflon - ICP/MS,92
TAPE-SAMPLER - SPECIFIC ION ELECTRODE,92
Instrumental - Vaisala 444A Tipping Bucket,91
MANUAL - FLAME IONIZATION,90
HI-VOL - Emission Spectra ICAP (ICP-OES),90
HI-VOL-GMW9000 - GRAVIMETRIC,90
Hi-Vol - Atomic Absorption (AA) Alt. Extr; 1.03M HNO3/2.23MHCl sonicate 50 min. at 100C,90
Pressurized Canister - Capiullary GC-PID Multi Point CAL,88
Instrumental Tekrans - Atomic Fluorescence,87
Nylon CASTNET-style 3-stage filter pack - Ion Chromatography EPA Mehtod 300.0,86
Hi-Vol - Emission Spectra ICAP(ICP-AES),86
Teflon CASTNET-style 3-stage filter pack - Automated Colorimetry EPA Method 350.1,86
HI-VOL-SA-GMW-1200 - EMISSION SPECTRA ICAP,85
6L SUBAMBIENT SS-CANISTER - PRECONCENTRATOR GC/FID,85
Magee AE21ER Aethalometer - Optical absorption,84
INSTRUMENTAL - INFRARED ABSORPTION,83
Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Barometric Sensor,81
Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Electronic,81
Thermo/R & P 2025 Teflon - ICPMS,80
INSTRUMENTAL - CONDUCTANCE ASARCO,80
Lo-Vol/Glass Fiber Filter - OSHA No. 42,80
LGR (Los GAtos Research - Off-Axis ICOS Cavity Ringdown Spectroscopy,78
INSTRUMENTAL - COLORIMETRIC,77
INSTRUMENTAL - MERCURIAL,77
LO-VOL-SA246B-DICHOT - GRAVIMETRIC,76
TAPE-SAMPLER - COLORIMETRIC - ALIZARIAN,76
HI-VOL - FLAMELESS ATOMIC ABSORPTION (GFAA),75
INSTRUMENTAL - 8202/8202A:NMOC CAL GAS = HEXANE,74
RADAR PROFILER - RADAR PROFILER,74
AUTOMATED WINS 2.5UM IMPACTOR - TEOM-GRAVIMETRIC,73
INSTRUMENTAL - PYRANOMETER (AVERAGE HOURLY),73
Andersen RAAS10-100 Single channel - Gravimetric,73
Instrumental - Chemiluminescence API Model 265E and T265,72
Instrumental - Ecotech Serinus 10,72
Instrumental - Vaisala 555B Pressure Sensor,72
Hi Vol SA/GMW 1200 - X-ray Fluorescence,70
INSTRUMENTAL - TVA AVERAGE SIGMA METER,70
Sunset Labs - Optical absorption at 660nm,70
R&P MDL2300 PM2.5 Seq Spec Quartz - Thermal Optical Transmittance,69
ANNULAR DIFUSSION DENUDER - ION CHROMATOGRAPH,68
Met-one BAM-1022 W/PM2.5 SCC - Beta Attenuation,67
Met One BAM-1020 Mass Monitor - Electronic,66
LO-VOL - ATOMIC ABSORPTION,65
R&P MODEL 5400 - STN TOT,65
SINGLE-FILTR WINS 2.5UM IMPACT - GRAVIMETRIC,65
Precipitation - Nessler's reagent,64
CASSETTE - GRAVIMETRIC,64
Instrumental - AutoMet,63
L0-VOL-DICHOTOMOUS-SA246B-IN - X-RAY FLUORESCENCE,62
PM2.5 VSCC - FRMS Gravimetric,62
SORBANT TUBE-CARBOSIEVE-C-TRAP - GAS CHROMATOGRAPH W/FLAME: GC FID,62
Met One E-BAM PLUS - Beta Attenuation,62
HI-VOL - PROPORTIONAL COUNTER,61
Thermo Electron Model RAAS2.5-100 w/VSCC - Barometric Sensor,61
Thermo Electron Model RAAS2.5-100 w/VSCC - Electronic,61
Tenax/GR/Trap - Thermal Desorber GC/PID,60
PERSONAL PUMP MOLECULAR SIEVE - GC/MS,60
"IMPROVE Module B with Cyclone Inlet and Na2CO3-Nylon Filter, 17.4 sq. cm. - Ion Chromatography",60
Andersen RAAS Quartz - Ion Chromatography,60
Instrumental - Teledyne API - Model N500 - Cavity-Attenuated Phase-Shift (CAPS) spectroscopy Nitrogen Oxides Analyzer,60
INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48C-TL,60
"IMPROVE Module B with Cyclone Inlet and Na2CO3-Nylon Filter, 4.9 sq. cm. - Ion Chromatography",59
HI-VOL - ULTRAVIOLET SPECTROPHOTOMETRIC,59
HI-VOL-W10 - GRAVIMETRIC,58
INSTRUMENTAL - GAS CHROMATOGRAPHIC,56
URG MASS450 Quartz WINS - Thermal Optical Transmittance,56
C18 DNPH CARTRIDGE - HPLC ULTRAVIOLET ABSORPTION,56
Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Calculation,56
SKC Pump XAD-2 Sorbent Tubes - GC/MS NIOSH 5515 REAC SOP1817,56
Virtual Impactor - Gravimetric 1405-D,55
TSI 3031 Ultrafine Particle Monitor - Electrical Mobility,55
SORBANT TUBE-CARBOSIEVE;C-TRAP - GAS CHROMATOGRAPH W/FLAME; GC FID,54
HI-VOL-WEDDING-INLET - ION CHROMATOGRAPH CONDUCTIMETRIC,54
R&P MODEL 8400S - FLASH VAPORIZATION/FLUORESCENCE,53
Instrumental - Off Site temperature sensor,52
INSTRUMENTAL - ULTRA VIOLET STIMULATED FLUORESCEN,51
BUCKET - GRAVIMETRIC-500 DEG.C.LOSS (ASTM),51
Thermo Scientific Partisol-Plus 2025-D Dichotomous Sequential Sampler - Dichotomous Gravimetric,50
BGI Inc. Model PQ200 PM10 - Barometric Sensor,50
BGI Inc. Model PQ200 PM10 - Electronic,50
Met One BC-1060 Portable - Optical Absorption,50
INSTRUMENTAL - ENTECH CRYFOCUS/VARIAN GC/FINN DTMS,49
Mixed Sorbent Cartridge - GC/MS,48
SKC Pump Charcoal Tube - GC/FID NIOSH 1003,48
6L Pressurized Canister - Dual FID - PAMS,48
Thermo Scientific Partisol Model 2000 Sampler Pair - Paired Gravimetric,47
DUAL GOLD AMALGAMATION - COLD VAPOR ATOMIC FLUORESCENCE,47
Instrumental - Ultra Violet Photometry,47
Adsorption tube Carbotrap 300 (Supelco) - Thermal Desorption GC/MSD,47
HI-VOL-SA/GMW-3218 - EMISSION SPECTRA ICAP,47
Hi-Vol - Emission Spectra ICAP (ICP-OES); 1.03MHNO3/2.23MHCl sonicate 50 min at100C,46
Instrumental Open Path - UV OPSIS Model AR 500,46
BGI PQ200 PM10 - X-ray Fluorescence (EDXRF) FRM,46
Instrumental - Off site baro pressure,46
Met One SASS 22 LPM Quartz - EC1+EC2+EC3-(OP(TOR))=(88383+88384+88385-88378)),45
Hi Vol SA/GMW 321B - X-ray Fluorescence,45
Met One SASS 22 LPM Quartz - IMPROVE_A TOR,45
Met One SASS 22 LPM Quartz - IMPROVE_TOT,45
Thermo Scientific 14015-D - Gravimetric,45
HI-VOL - LIQUID CHROMOTOGRAPHY,45
Met One SASS 22 LPM Quartz - EC1+EC2+EC3-(OP(TOT))=(88383+88384+88385-88388)),45
Met One SASS 22 LPM Quartz - OC1+OC2+OC3+OC4+(OP(TOR))=(88374+88375+88376+88377+88378),45
Met One SASS 22 LPM Quartz - OC1+OC2+OC3+OC4+(OP(TOT))=(88374+88375+88376+88377+88388),45
6l Subatm Canister - Entech Precon-  GC/FID/MSD,45
OTHER 24HR FILTER BASED SAMPLER - GRAVIMETRIC,44
NADP BUCKET: DRY SIDE - ATOMIC ABSORPTION,44
CALCIUM-PAPER - WILLARD-WINTER / SECIFIC ION,44
Semi-Continuous Analyzer - GC/PID,43
R & P Model 2025 PM2.5 Sequential Quartz - Ion Chromatography,43
Lo-Vol/ Glass/Fiber Filter - Gravimetric,42
Met One E-FRM PM2.5 with WINS - Gravimetric,42
MEMBRANE-SAMPLER - GRAVIMETRIC,41
Model 2025 PM10 Sequential Teflon - Ion Chromatography,40
HI-VOL - Emission Spectra ICAP,40
Thermo Scientific 1405 TEOM - Gravimetric,40
INSTRUMENTAL - CONDUCTIMETRIC,40
OTHR AUTOMATD 2.5 MASS CONCENT - SURROGATE MEASURE,40
R&P MODEL 5400 - THERMAL OXIDATION/CO2 DETECTION,40
Andersen RAAS Quartz - Atomic Absorption,40
INSTRUMENTAL - WEST-GAEKE COLORIMETRIC,40
Instrumental - TVA Last 5-min. average,40
HI-VOL - SODIUM PHENOLATE,39
HI-VOL/PUF & XAD-2 - TO-13- EPA610- EPA625,38
HI-VOL - ICAP SPECTRA,38
6L Subatm CANISTER - Entech Precon-  GC/FID/MSD,38
Met One SASS Teflon - Energy dispersive XRF,38
GAS-BUBBLER - PARAROSANILINE-SULFAMIC ACID,38
Hi-Vol - Emission Spectra ICAP (ICP-OES) EPA 1.03M HNO3/2.23M HCl sonicate 50 min at 100C,37
Met-One BAM-1020W/PM2.5 SCC - Beta Attenuation,37
6L SUBAMBIENT SS-CANISTER - ENTECH PRECONCENTRATOR GC/MS,37
HI-VOL Wedding Inlet - Emission Spectra ICAP,36
TENAX TRAP AC PUMP - HEAT DESORPTION GC MASS SPEC,36
HI-VOL - THIOCYANATE,35
Tipping Bucket - METONE 8 Non HEATD RAIN GAUGE 375ss,35
INSTRUMENTAL - OPEN PATH NO ANALYZER,34
PRECIP - SODIUM PHENOLATE/HYPOCHIORITE,34
API 602 BAM - Gravimetric,33
GAS-BUBBLER - METHYLENE BLUE(100ML TUBE+ORIFICE),33
PRECIP - VOLUMETRIC,33
HI-VOL - NASN ARSINE-COLORIMETRIC,33
Hi Vol Wedding Inlet - ICP/MS,32
Instrument Nitrolux - Infrared light/laser based detection,32
SKC Pump Charcoal Tube - GC/FID NIOSH 1500,32
INSTRUMENTAL - SOLARIMETER,32
Model 2025 Dichot Sequential - Mathematical Total,32
Thermo Scientific 1405-F FDMS w/SCC - FDMS,31
HI-VOL - 2-4 XYLENOL,31
Met One SASS Quartz - EC1+EC2+EC3-OP (88329+88330+88331-88388),30
Met One SASS/SuperSASS Quartz - IMPROVE_A TOR w/ Adjustment,30
Met One SASS Quartz - IMPROVE_A,30
Thermo Partisol Model 2025-D Seq - Gravimetric,30
Met One SASS Quartz - OC1+OC2+OC3+OC4+OP (88374+88375+88376+88377+88388),30
Hi-Vol - Emission Spectra ICAP (ICP-AES); 6:3:1 DI water:HCl:HNO3 microwave 95C; add DI water sonicate 30 min; sit overnight,30
URG MASS450 Quartz WINS - IMPROVE TOR w/ Adjustment,30
ANDERSON RAINFALL BUCKET - TITRATION,29
Instrumental - Optical Scattering Ceilometer,29
HI-VOL - PH METER,29
TENAX/SPHEROCARB-SORBENT-TRAP - HEAT DESORPTION GC-HECD,28
SS-CANISTER-SUBAMBIENT-PRESURE - GAS CHROMATOGRAPH MASS SELECRIV DET,28
Tisch Environ Model-6070 PM10 Hi-Vol - ICP - AES,28
Thermo Partisol Model 2000-D Dichot - GRAVIMETRIC,28
TENAX/SPHEROCARB-SORBENT-TRAP - HEAT DESORPTION GC-FID,27
INSTRUMENTAL - Non Dispersive Infrared Photometry,27
GAS-BUBBLER - TGS METHOD - ORIFICE,27
Instrumental - Electronic or machine average level 3,27
AP 602 BAM - Gravimetric,27
Teledyne-API Model T200P Chemiluminescence - Photolytic-Chemiluminescence,27
MED-VOL-SA254 - GRAVIMETRIC,27
LO-VOL-DICHOT-INTERIM - GRAVIMETRIC,27
INSTRUMENTAL - VECTOR SUMMATION LEVEL 3,26
BGI Inc. frmOMNI - Gravimetric,26
Teledyne 602 Beta PLUS Monitor - Paired Beta Difference,26
Tisch Model TE-Wilbur10 Low-Volume Sampler - Gravimetric,26
PM2.5 SSI w/Correction Factor - TEOM Gravimetric 30 deg C,26
PRECIP - COULOMETRIC TITRATION,25
Anderson RTAA_800 Aethalometer - Optical absorption,25
Model 2025 PM2.5 Sequential Teflon Nylon - Ion Chromatography,24
Thermo Partisol Model 2025-D Dichot - GRAVIMETRIC,24
INSTRUMENTAL - CONDUCTANCE,24
Thermo/R & P Partisol 2000 PM10 FRM - X-ray Fluorescence (EDXRF) FRM,24
COSTAR (NUCLEOPORE) FILTERS - ISOCRATIC 2 MM SODIUM BORATE,24
PRECIP - ULTRA-VIOLET,24
Instrumental - Ecotech Serinus 50,24
INSTRUMENTAL - TVA ARITHMETIC AVERAGE,23
ATEC 3400 - ION CHROMATOGRAPH UV VISIBLE,22
INSTRUMENTAL - OPEN PATH SO2 ANALYZER,22
"Thermo Scientific Dichot, PArtisol-Plus Model 2025-D Seq - Electronic",22
Andersen RAAS Quartz - OC1+OC2+OC3+OC4+OP,22
Meteorology Research 550B - Nephelometry,22
BUCKET - GRAVIMETRIC (ASTM),22
"Thermo Scientific Dichot, Partisol-Plus Model 2025-D - Barometric Sensor",22
Andersen RAAS Quartz - EC1+EC2+EC3-OP,22
SILICA GEL TUBE - IC SCAN,21
Integrated Passive Monitor - Ion Chromatography,21
Andersen RAAS Quartz - Automated Colorimetry,20
Instrumental - Electronic or machine average level 4 - level 1,20
Cooper Environmental Services (CES) XACT 625 - X-ray fluorescence (XRF),20
Magee AE33/ TAPI M633 Aethalometer - Optical Absorption,20
Ecotech M9003/ Aurora - Nephelometry,20
HI-VOL - ARGENTOMETRIC,19
Instrumental PAS-2000 - UV Radiation,19
ATEC 2400 W/WATERS SILICA DNPH - TO-11 DIONEX DX-300 ION CHRMTGRAPH,18
URG MASS450 Quartz WINS - IMPROVE TOR,18
Met One SASS/SuperSASS Quartz - IMPROVE_A TOR,18
Instrumental - Chemiluminescence Ecotech EC9842T,18
PERSONAL PUMPS - TENAX DESORPTION GC/MS,18
INSTRUMENTAL - OPEN PATH O3 ANALYZER,17
SS Canister Pressurized - Cryogenic Preconcentration GC/FID,17
BUCKET - GRAVIMETRIC (APCA),17
LO-VOL-WA10-DICHOT - GRAVIMETRIC,17
Dual Gold Amalgamation - Cold Vapor Atomic Absorption,17
Met One E-SEQ-FRM PM10 - Gravimetric,17
IODATED CARBON TRAPS - COLD VAPOR ATOMIC FLUORESCENCE,17
NADP BUCKET: WET SIDE - ATOMIC ABSORPTION,16
Met One E-SEQ-FRM - Gravimetric,16
Model 2025 Dichot Sequential Teflon  - Ion Chromatography,16
INSTRUMENTAL - Delta temperature,16
ThermoFisher Model 5012 - MAAP (Multi Angle Absorption Photometer),16
SKC Pump Charcoal Tube - GC/FID NIOSH 1501,16
Model 2025 Dichot Sequential Nylon  - Ion Chromatography,16
PM2.5 WINS w/No Correction Factor - TEOM Gravimetric 50 deg C,15
INSTRUMENTAL API 201E - Chemiluminescence,15
GAS-BUBBLER - WILLARD-WINTER TITRIMETRIC,15
Hi-Vol/PUF Cartridge - Micro Wave extraction GC/MS,15
RM Environmental Model 024 Toxic Sampler - Ion Chromatograph,15
BAM-102-CONTINUOUS MONITOR - BETA-ATTENUATION,15
PM2.5 WINS w/No Correction Factor - TEOM Gravimetric 30 deg C,15
Tenax GR/Trap - Thermal Desorber GC/PID,15
MILLIPORE-FILTER - BETA ABSORPTION,14
HOFFMAN-HI-VOL - GRAVIMETRIC,14
Instrumental - Nondispersive Infrered Photometry,14
Magee AE22ER Aethalometer - Optical absorpton,14
Andersen RAAS2.5-200 PM2.5 Aud - Calculation,14
BGI Models PQ200-VSCC or PQ200A-VSCC - PAIRED GRAVIMETRIC DIFFERENCE,14
MIXED SORBENT CARTRIDGE-2 - GC/MS,13
SS-CANISTER-SUBAMBIENT PRESURE - GAS CHROMATOGRAPH MASS SELECTIV DET,12
BGI PQ200/200A - ICP-AES,12
HI-VOL-SA/GMW1200 - TOR (DRI Thermal-optical reflectance),12
HI-VOL - ICAP SPECTRA (PIMA CO.- AZ),12
Met One SASS Quartz - Thermal Optical Reflectance,12
INSTRUMENTAL - SPECIFIC ION ELECTRODE,12
R & P Partisol 2025 Teflon - Aqueous Extraction GC-MS,12
Met One SASS Quartz - 11*(H-0.25*Sulfur)),12
R & P MODEL 2025 PM2.5 SEQUENTIAL w/WINS - PAIRED GRAVIMETRIC DIFFERENCE,12
R & P Model 2000 PM-2.5 Audit Sampler w/VSCC - Gravimetric,12
Instrumental - Vaisala 441A Pyronometer,12
INSTRUMENTAL - DRI SENSOR,11
R & P Model 2025 PM2.5 Sequential - Relative Humidity sensor,11
HI-VOL - FLAMELESS ATOMIC ABSORPTION,10
BGI Inc. Model PQ100 PM10 - Gravimetric,10
DICHOTOMOUS - 2.5-0 GRAVIMETRIC,10
Hi-Vol/PUF Cartridge - Accelerated solvent extraction GC-MS,10
DICHOTOMOUS - 15-2.5 GRAVIMETRIC,10
R&P MDL2300 PM2.5 Seq Spec Quartz - IMPROVE TOR w/ Adjustment,10
Instrumental - Visual average level 1,10
Instrumental Belfort 6230-A - Forward Scatter Principal,10
Andersen RAAS Quartz - IMPROVE TOR w/ Adjustment,10
Met-One BAM W/PM2.5 SCC - Beta Attenuation,10
Met One SASS/SuperSASS Teflon - Calculation,10
MIXED SORBENT CARTRIDGE2 - GC/MS,9
INSTRUMENTAL - DUAL ISOTOPE FLORESCENCE,9
Instrumental - Opsis Model AR 500,9
Hi Vol/PUF - GC/MS,9
INSTRUMENTAL - HYGROTHERMOGRAPH,9
INSTRUMENTAL - VISUAL AVERAGE LEVEL 1,9
Andersen BAM w/PM2.5 WINS - Beta Attenuation,9
 6L SUBAMBIENT SS-CANISTER 	 	 -  ENTECH PRECONCENTRATOR GC/MS	,8
Model 2025 PM10 Sequential Nylon  - Ion Chromatography,8
PM2.5 WINS w/Correction Factor - TEOM Gravimetric 50 deg C,8
Model 2025 PM10 Sequential - Mathematical Total,8
Instrumental - Ultraviolet Fluorescent Analyzer,8
 6L SUBAMBIENT SS-CANISTER - ENTECH PRECONCENTRATOR GC/MS,8
Met One BC-1054 Black Carbon Monitor - Optical Absorption,8
Met One BC-1050 Black Carbon Monitor - Optical Absorption,8
Model 2025 PM2.5 Sequential - Mathematical Total,8
Thermo Scientific Partisol 2000-D Dichotomous Sampler - Dichotomous Gravimetric,8
PM2.5 SCC - CAMMS Mass pressure drop,8
R&P FRM Model 2000 (Single) - Liquid Injection Varian GC/MS,8
R & P Partisol 2000 - ICP-MS,8
SS 6L - PRESSURIZED CANISTER - PRECONC: GC/MS,8
Lo-Vol/Acid Treated Glass Fiber Filter - NIOSH No. 5029,8
Met One E-FRM PM10 - Gravimetric,7
DICHOTOMOUS - TOTAL GRAVIMETRIC,7
